Word, DocumentID-Frequency of the word
affecting, 9-3 10-2 12-2 13-1 14-1 16-1
affection, 5-1 7-2
affectionately, 3-1
affections, 5-1
affects, 10-1 12-1 14-1
affiliated, 11-2
affiliations, 9-1
affirm, 14-1 15-1
afflict, 7-1
afflicted, 13-1 14-1 15-1 16-1
afflicting, 13-1
affliction, 13-1
afflicts, 16-1
afford, 3-1 9-1 10-1 11-1 12-1 14-2 15-1 16-1
affordable, 10-2 11-1 12-2
afforded, 10-1
affords, 15-1
affrighted, 15-1
affront, 13-1 15-1
affronts, 15-1
afloat, 13-1
afore, 3-1
afraid, 1-5 2-4 3-2 4-1 13-1 16-2
afresh, 13-1
afric, 13-1
african, 9-1 10-1
after, 1-14 2-9 3-11 4-9 5-2 6-5 7-4 8-4 9-5 10-10 11-4 12-2 13-22 14-9 15-13 16-13
afternoon, 9-2 11-1
afternoons, 15-1
afterwards, 1-1 4-1
again, 1-24 2-31 3-12 4-15 5-3 6-5 7-3 8-6 9-3 10-2 11-7 12-1 13-3 14-1 15-5 16-3
against, 1-5 2-3 3-1 5-5 6-4 7-4 8-1 10-1 11-1 12-2 13-19 14-16 15-11 16-21
agape, 14-1
age, 1-2 2-1 4-1 6-6 7-1 8-2 10-1 12-2 13-1 15-1 16-4
agencies, 10-1 12-1
agency, 11-3
agenda, 9-1
agent, 10-1
agents, 15-1
ages, 6-1 7-1 13-2 15-1 16-5
aggravate, 13-1 16-1
aggregate, 10-1
aggregated, 16-1
aghast, 13-1
agitation, 15-1
ago, 1-1 4-1 6-1 9-3 10-10 11-4 12-2
agonizing, 11-1 12-1
agony, 2-1 13-1 15-1 16-1
agra, 16-1
agree, 3-2
agreed, 10-1 11-3 12-2
agreement, 9-1 11-4
agreements, 10-1 11-1
agricultural, 9-1 10-7 11-3 12-9
agriculture, 10-4
agronomy, 10-2
aguera, 12-1
ah, 1-2 3-3 8-1 14-2 16-1
ahaz, 13-1
ahead, 10-1 12-1
ahem, 1-1
aialon, 16-1
aid, 13-5 14-4 15-6 16-6
aided, 11-1 14-1
aids, 10-1
aiim, 11-19 12-8
aiims, 11-8 12-1
aim, 5-1 9-1 12-1 13-5
aimed, 14-1 15-1
aimest, 16-1
aiming, 11-1
aims, 9-1 14-1
air, 1-6 2-3 3-1 4-5 6-1 13-23 14-23 15-25 16-22
aired, 12-1
airport, 11-1
airs, 2-1 14-2 15-2 16-1
airy, 13-4
alabaster, 14-1
alack, 8-1
alacrity, 13-1
aladule, 16-1
alan, 10-1 12-1
alarm, 2-2 13-1 14-1 16-1
alarmed, 3-1 14-1 16-1
alas, 1-4 5-3 6-1 7-2 8-1 16-2
albeit, 5-2 11-1
alcairo, 13-1
alchemist, 14-1
alchemy, 13-1
alcides, 13-1
alcinous, 14-1 15-1
alderman, 12-1
aleian, 15-1
alerts, 10-2
alexander, 12-1
alexandria, 12-2
algebra, 9-1
algiers, 16-1
algorithm, 11-1
algorithms, 10-4 12-1
alice, 1-90 2-112 3-116 4-68
alices, 1-5 3-6 4-1
alien, 14-1
aliena, 5-1 6-2 7-1 8-3
alienate, 14-1
alienated, 13-1 15-1 16-1
alighted, 13-1
alights, 14-1
alike, 10-1 13-3 14-4 15-2 16-5
alimental, 14-1
alive, 3-2 4-1 11-1 16-1
all, 1-49 2-38 3-43 4-52 5-14 6-29 7-20 8-29 9-34 10-27 11-51 12-16 13-177 14-183 15-145 16-198
allay, 16-1
allayed, 15-2
alleged, 14-1
allegiance, 11-1 13-1 14-1
allen, 12-3
alleviates, 12-1
alleys, 14-1
allies, 8-1
allotted, 15-1
allottery, 5-1
allow, 1-1 2-1 3-1 5-1 9-1 10-6 11-3 12-4 14-1
allowance, 10-1
allowed, 9-1 10-1 11-1 12-1
allowing, 9-1 10-1 11-1 12-3
allows, 5-1 9-1 10-5 11-8 12-1
alls, 7-1 8-1
alluded, 11-2
allured, 13-2 14-1 16-1
allurement, 16-1
alluring, 15-1
allusion, 11-2 16-1
almansor, 16-1
almighth, 13-1
almighty, 13-12 14-8 15-7 16-3
almightys, 14-3 15-1
almost, 1-4 2-1 3-1 5-2 6-3 7-2 9-2 10-1 11-6 12-1 15-2
aloft, 13-4 14-2 15-2
alone, 1-2 2-1 3-1 5-3 6-1 7-2 9-2 10-4 11-1 12-3 13-10 14-11 15-17 16-2
along, 1-3 2-1 3-1 4-1 5-7 6-1 7-1 9-4 11-1 13-2 14-1 15-2 16-1
aloof, 13-2
aloud, 1-2 2-3 13-1 14-4 15-1 16-1
alp, 13-1
already, 2-1 3-1 5-1 9-6 10-2 11-6 12-4 14-1 15-3 16-4
also, 2-1 3-1 6-1 9-29 10-36 11-43 12-12 13-11 14-5 15-12 16-14
altar, 13-5 15-1 16-3
altars, 13-2 16-1
alter, 16-1
alteration, 13-1 15-1
altered, 2-1 14-1 15-1 16-1
altern, 15-1
alternate, 10-1 14-1
alternately, 2-1
alternative, 9-2 10-1 11-2 12-1
alternatives, 9-1 11-1 12-1
although, 6-2 9-16 10-12 11-8 12-2 15-1
altogether, 1-3 2-2 5-2
altos, 9-1 12-1
always, 1-5 2-1 3-6 4-1 5-1 9-2 10-1 11-9 12-1 13-3 14-2 15-1 16-1
am, 1-8 2-6 3-1 5-18 6-9 7-25 8-22 9-95 10-13 11-28 12-20 13-1 14-7 15-9 16-9
amain, 13-2 16-2
amalgamation, 12-1
amalthea, 14-1
amara, 14-1
amarant, 13-2
amarantine, 16-1
amateur, 9-1
amaze, 5-1 14-1 16-1
amazed, 13-1 14-1 15-3 16-1
amazement, 13-2 14-1
amazonian, 15-1
amber, 13-1 15-1
ambience, 10-1
ambient, 14-1 15-1
ambiguous, 14-2 15-1
ambition, 3-1 5-1 6-1 13-2 14-3 15-1 16-2
ambitious, 6-1 7-1 13-2 14-1 16-1
ambles, 7-3
ambroses, 11-1
ambrosia, 14-1
ambrosial, 13-3 14-4 15-1 16-1
ambush, 13-1 15-1
amen, 7-1
amenable, 9-1
amends, 15-1 16-1
amerced, 13-1
america, 10-1 12-2
american, 9-27 10-6 11-9 12-24 15-1
amiable, 14-1 15-2
amiably, 14-1
amid, 14-4 15-5 16-1
amidst, 13-4 14-3 15-3 16-2
amiens, 5-4 6-12 8-1
amity, 14-1 15-1 16-1
ammiral, 13-1
ammon, 14-1
ammonian, 15-1
ammonite, 13-1
among, 1-4 2-6 3-2 7-1 9-18 10-8 11-6 12-5 13-10 14-21 15-18 16-17
amongst, 8-2 13-1
amorous, 13-1 14-2 15-4 16-2
amortized, 10-2 11-1
amount, 9-4 10-8 11-5 12-2
amounted, 10-1
amounts, 9-3 10-2 12-1
amours, 14-1
amphisbaena, 16-1
ample, 13-3 14-3 15-2
ampler, 15-1 16-1
amplest, 16-1
amplitude, 15-1
amply, 15-1 16-1
amrams, 13-1
ams, 9-14 10-3 11-15 12-2
amused, 14-2
an, 1-14 2-15 3-14 4-14 5-9 6-12 7-13 8-9 9-72 10-92 11-93 12-45 13-9 14-6 15-10 16-6
analog, 9-1 11-6 12-3
analogous, 11-1
analogy, 11-1
analyses, 9-1 12-2
analysis, 9-16 10-1 11-2 12-5
analyst, 12-1
analytic, 9-1
analytical, 9-2
analyze, 9-3 11-1
analyzed, 9-2 13-1
analyzer, 12-1
analyzing, 9-1
anarch, 13-1
anarchy, 13-1 15-1 16-1
anatomize, 5-1
anatomized, 6-1
ancestor, 14-1 16-2
ancestors, 13-1
anchor, 13-1
anchors, 13-1
ancient, 3-1 9-4 11-1 13-8 16-3
anciently, 14-1
ancillary, 11-1
and, 1-277 2-207 3-200 4-188 5-146 6-199 7-165 8-182 9-452 10-475 11-448 12-409 13-894 14-794 15-869 16-854
andre, 9-2 10-4 11-1 12-5
andromeda, 13-1
anecdotal, 9-4
anemic, 9-1
angel, 13-9 14-22 15-13 16-20
angelical, 13-2
angelick, 14-9 15-5 16-3
angels, 13-15 14-16 15-9 16-7
anger, 2-1 4-1 5-1 7-1 13-6 14-1 15-3 16-3
angers, 16-1
angola, 16-1
angrily, 1-2 2-3 3-3 4-1
angry, 1-3 2-2 8-1 13-3 16-2
anguish, 13-2 14-1 15-1 16-2
anima, 11-1
animal, 2-1 5-1 14-2
animals, 1-3 2-1 4-1 5-2 14-1
animate, 15-2
ann, 1-4
anne, 9-2 10-1 12-4
annenberg, 9-1 12-1
annexed, 16-1
annihilating, 14-1
annotated, 9-2
annotation, 10-2 11-1 12-1
annotations, 10-1 12-1
announced, 11-1
announcement, 9-1
annoy, 2-1 14-1 15-1
annoyed, 2-1
annual, 10-2 13-1 15-1 16-1
annuls, 16-1
anointed, 13-1 14-6 16-1
anomalies, 9-1
anon, 5-1 13-4 14-2 16-4
another, 1-6 2-10 3-3 4-3 5-5 6-3 7-4 8-3 9-10 10-11 11-17 12-3 13-5 14-6 15-5 16-4
anothers, 14-1 16-1
ansi, 10-1 11-9 12-2
answer, 1-3 2-3 3-1 4-2 5-1 7-4 8-4 9-1 10-3 11-6 13-1 14-1 15-5 16-1
answerable, 15-1 16-1
answerd, 7-1
answered, 1-1 2-1 3-1 4-1 6-2 12-1 13-4 14-5 15-5 16-7
answering, 14-4 15-1
answers, 3-1 7-2 11-2 12-1
antagonist, 13-1 16-1
antarctick, 15-1
antedating, 9-1
anthropological, 9-1
anticipate, 11-1 12-2
anticipated, 9-2 10-2
anticipates, 10-1
anticipating, 9-1 10-1
antipathies, 1-1
antipathy, 16-1
antique, 5-1 6-1
antiquity, 8-1 12-1
anxiety, 9-2 11-1
anxious, 3-2 4-1 15-1
anxiously, 1-4 2-3 3-4 4-3 11-1
any, 1-16 2-8 3-9 4-6 5-7 6-12 7-8 8-4 9-9 10-11 11-19 12-5 13-5 14-3 15-2
anybody, 10-1 11-1
anybodys, 10-1
anyone, 10-1 11-2 12-2 13-1
anything, 1-8 2-6 3-3 4-3 9-1 10-1 11-9 12-4
anywhere, 4-1 9-1 11-1
aonian, 13-1
apace, 6-1 7-1 16-1
apart, 5-1 8-1 10-2 13-1
apathy, 13-1
ape, 7-1 15-1
apes, 6-1
apish, 7-1
apocalypse, 14-1
apology, 15-1
apostasy, 15-1
apostate, 13-1 14-3 15-1
apostates, 15-1
apostles, 16-1
appaid, 16-1
apparatus, 11-2 12-1
apparel, 6-1 7-2
apparent, 14-1 16-1
apparition, 15-1 16-1
appeal, 9-2
appealed, 3-1
appealing, 9-2 12-1
appear, 2-1 3-1 8-1 9-3 10-3 11-3 12-1 13-7 14-1 15-4 16-7
appearance, 3-1 15-1
appearances, 15-1 16-1
appeard, 13-3
appeared, 2-3 3-5 9-1 11-4 13-7 14-8 15-7 16-7
appearing, 2-1 14-1 15-1
appears, 6-1 9-1 10-2 11-1 12-2 13-4 14-1 15-3 16-3
appease, 13-2 14-1 16-4
appeased, 16-3
appendix, 9-4 12-3
appertain, 16-1
appertains, 15-1
appetence, 16-1
appetite, 14-3 15-7 16-2
applauded, 14-1
applause, 4-1 5-1 13-1 14-1 16-2
apple, 1-1 9-2 12-4 16-1
apples, 1-2 15-1
applicability, 10-1
applicable, 12-1
applicant, 11-1
application, 9-4 10-14 11-3 12-2
applications, 9-5 10-13 11-6 12-8
applied, 9-1 10-1 11-2 12-1 14-2 16-1
apply, 6-1 11-7 12-1 14-1 15-1
applying, 9-1 10-1
appoint, 14-1
appointed, 5-1 13-1 14-3 15-1 16-2
appoints, 15-1
appreciation, 12-1
appreciative, 9-1
apprehend, 14-1 16-1
apprehended, 15-1
apprehension, 15-1 16-1
approach, 6-1 8-1 10-4 11-8 13-2 14-5 15-4 16-2
approachd, 8-1
approached, 12-1 14-2 15-1 16-2
approaches, 9-3 11-3 12-5 14-1
approaching, 12-1 14-1 15-2 16-2
appropriate, 9-5 11-5 12-2
appropriately, 10-2 12-1
appropriateness, 11-2
appropriating, 16-1
approve, 14-1 15-6
approved, 11-2 14-1 15-1 16-2
approximately, 9-5 10-5 11-9 12-1
april, 7-1 11-1
apt, 12-1 15-1
apter, 7-1 14-1
aquaculture, 10-2
aquinas, 9-1
arabian, 13-1
arable, 16-1
araby, 14-1
aram, 13-1
arbiter, 13-1 15-1
arbitrary, 11-1 13-1
arbitrator, 13-1
arbitrement, 15-1
arbitress, 13-1
arborets, 15-1
arborous, 14-1
arbour, 14-1 15-1
arbours, 14-1
arcadian, 16-1
arcana, 9-1
arch, 3-1 13-6 14-7 15-2 16-6
archaeological, 9-3
archangel, 13-3
archbishop, 1-2
arched, 13-2 15-2 16-1
arches, 3-4
architect, 13-1 14-1 15-1 16-1
architecturally, 10-1
architecture, 9-1 10-1 11-3 12-1
architrave, 13-1
archival, 9-17 10-3 11-8 12-9
archivally, 12-1
archive, 9-4 10-1 11-3
archives, 9-4 10-3 11-1 12-6
archiving, 10-1 12-1
archivist, 9-1
archivists, 9-2
arctic, 13-1
arden, 5-4 6-3
ardent, 15-1
ardour, 14-1 15-1
ardours, 14-1
are, 1-12 2-15 3-13 4-14 5-28 6-21 7-40 8-22 9-107 10-76 11-99 12-68 13-19 14-13 15-22 16-16
area, 9-5 10-9 11-1 12-4
areas, 9-4 10-1 11-4 12-3
arena, 10-2 11-3
argent, 13-1
argestes, 16-1
argo, 13-1
argob, 13-1
arguably, 11-1
argue, 2-1 11-1 14-1 16-2
argued, 2-1 9-8 10-10 11-10 12-1 13-1 14-1
argues, 13-1 14-2 15-1
arguing, 14-1
argument, 1-1 3-3 5-2 6-1 11-1 12-1 13-1 14-2 15-3 16-1
arguments, 3-1 9-3 11-1 12-1
argus, 16-1
ariel, 14-1
aries, 16-1
aright, 14-1 16-2
arimaspian, 13-1
arioch, 14-1
arise, 13-1 14-1 15-1 16-1
arises, 11-2 12-1 14-1
arising, 9-1 11-1
arithmetic, 3-1
arizona, 12-1
ark, 8-1 13-1 16-11
arm, 1-5 2-2 3-6 4-2 6-1 8-3 13-4 14-8 15-1 16-2
armed, 7-1 13-12 14-14 15-4 16-3
armies, 13-3 14-3 15-2 16-1
arming, 13-1 16-1
armoric, 13-1
armour, 14-4 15-1 16-1
armoury, 14-2 15-1
arms, 2-4 3-1 4-1 6-2 13-17 14-24 15-1 16-9
army, 14-3 15-1 16-1
arnon, 13-1
aroar, 13-1
arose, 9-4 13-1 14-1 15-4
around, 4-3 9-7 10-9 12-3 13-2
arouse, 10-1
arpanet, 10-1
arraigned, 13-1
arranged, 2-1 9-1
arrangement, 10-4
array, 8-2 9-1 11-1 12-1 13-2 14-3 15-1 16-3
arrayed, 14-1
arraying, 14-1 16-1
arreed, 14-1
arret, 12-1
arrive, 13-3
arrived, 4-1 10-2 13-1 14-3 15-3 16-3
arrogate, 16-1
arrow, 3-1 13-1
arrows, 7-1 8-1 14-1 15-1
arrum, 1-1
arsusda, 12-2
art, 5-6 6-12 7-3 8-7 9-2 11-1 12-1 13-15 14-14 15-12 16-11
artfl, 9-1
article, 9-1 10-3 11-6 12-1
articles, 9-1 10-6 11-1 12-3
articulate, 11-1 15-1
articulated, 10-1
artifact, 9-1
artifacts, 9-2 12-1
artifice, 15-1
artificer, 14-1
artificial, 10-1
artillery, 13-1
artist, 13-1
arts, 9-3 12-1 16-1
as, 1-70 2-86 3-50 4-57 5-38 6-47 7-65 8-36 9-127 10-121 11-134 12-69 13-131 14-143 15-162 16-132
asa, 10-1
ascalon, 13-1
ascanse, 16-1
ascap, 11-1
ascend, 13-4 14-6 15-2 16-7
ascended, 15-2 16-2
ascending, 13-5 14-1 15-1
ascends, 13-1 14-1
ascension, 16-1
ascent, 13-3 14-2 15-1 16-1
ascii, 10-2 11-11 12-2
ascribe, 15-1
ashamed, 1-1 3-1
ashes, 13-1 16-1
ashtaroth, 13-1
asia, 16-1
aside, 6-1 7-5 8-1 10-1 14-1 16-1
asis, 12-1
ask, 1-4 2-1 3-5 4-1 5-1 7-5 9-2 10-1 11-1 13-1 14-3 15-7
askance, 4-1 14-2
askd, 8-1 13-1
asked, 1-1 2-3 3-9 4-4 7-1 8-1 9-4 11-1 12-1 13-1 14-2 15-2
asking, 1-2 2-2 3-1 9-1
asks, 9-1
asleep, 2-3 3-4 4-1 14-3 16-1
aslope, 16-1
asmadai, 14-1
asmodeus, 14-1
asp, 16-1
aspect, 8-1 9-4 10-3 11-4 12-1 13-2 14-5 15-2 16-1
aspects, 9-5 10-1 11-3 12-2 16-1
asperses, 15-1
asphaltic, 13-1
asphaltick, 16-1
asphaltus, 13-1
asphodel, 15-1
aspire, 14-1 16-2
aspired, 14-1 15-1
aspirer, 14-1
aspires, 13-1 14-1 15-1
aspiring, 13-2 14-2 15-2
aspramont, 13-1
asrr, 12-2
ass, 6-1
assailants, 5-1
assailed, 16-1
assassin, 16-1
assault, 13-1 14-3 15-3
assaulting, 16-1
assaults, 13-2 16-2
assay, 13-1 14-1 15-1
assayd, 5-1
assayed, 13-1 16-2
assaying, 14-1
assays, 14-1
assemble, 10-1 14-1 16-1
assembled, 1-1 4-1 10-1 12-1 13-1 14-1 16-1
assemblies, 16-1
assembling, 10-1 11-1 13-1
assembly, 7-1 8-1 9-1 13-2 14-1
assent, 13-1
assenting, 14-1
assert, 11-2 13-1 14-2
asserted, 11-3
asserting, 11-1
assertion, 10-1
assess, 12-1
assesses, 12-1
assessing, 11-1
assessments, 11-1
assessour, 14-1
asset, 9-1
assiduous, 16-1
assignd, 5-1
assigned, 9-1 14-1 15-2 16-1
assigning, 9-1
assimilate, 14-1
assist, 9-1 11-1 12-1 15-1
assistance, 10-1 11-1
assistant, 10-2 12-5
assisted, 9-2
associate, 9-3 10-4 11-1 12-14 14-1 15-1 16-1
associated, 9-1 10-3 11-1 12-1
associates, 13-1 15-1
association, 10-1 11-7 12-5
assume, 9-1 12-1 13-4 14-2 15-1 16-1
assumed, 10-1 11-1
assumes, 10-1 12-1
assuming, 10-3 11-2 16-1
assumption, 9-2 10-7 11-2 12-2
assumptions, 11-2
assurance, 11-1
assure, 5-1 8-1 14-1
assured, 13-3 14-2 15-2 16-1
assuredly, 6-1
assures, 16-1
assyria, 13-1
assyrian, 14-2
astarte, 13-1
asthmas, 16-1
astonied, 15-1
astonished, 13-2 15-1
astonishing, 9-2
astonishment, 13-1
astoreth, 13-1
astounded, 13-1
astracan, 16-1
astrea, 14-1
astronomer, 13-1
asunder, 15-1
at, 1-43 2-62 3-57 4-49 5-16 6-20 7-13 8-8 9-84 10-99 11-51 12-43 13-76 14-68 15-68 16-61
atabalipa, 16-1
atalantas, 6-1 7-1
ate, 1-1
atheist, 13-1 14-1
atheists, 16-1
atheling, 1-1
athenas, 12-1
athens, 15-1
athwart, 7-1 13-1
atlantean, 13-1
atlantick, 13-1 16-1
atlas, 14-1 16-1
atom, 4-2 15-1
atomies, 7-2
atoms, 13-1
atone, 8-1
atonement, 13-1
atrium, 12-1
atrophy, 16-1
attached, 10-1 11-1 16-1
attack, 14-1
attain, 9-1 13-1 15-6 16-1
attained, 15-1 16-1
attaining, 9-1
attains, 15-2 16-1
attempt, 1-1 5-1 7-1 9-8 10-1 11-10 12-1 13-4 14-1 15-5 16-2
attempted, 4-1 9-3 10-1 11-2 12-1 13-1 15-1
attempting, 10-2 11-10 12-2 13-2
attempts, 4-1 9-2 10-2 11-6 12-1 15-1
attend, 5-1 7-1 8-2 9-1 11-1 13-1 14-2 15-2 16-3
attendance, 16-1
attendant, 15-3
attendants, 5-2 6-1
